location,date,cases,data_field,
Argentina-Buenos_Aires,2016-03-19,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-03-19,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-03-19,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-03-19,1,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-03-19,127,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-03-19,0,cumulative_cases_discarded,
Argentina-Buenos_Aires,2016-03-26,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-03-26,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-03-26,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-03-26,1,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-03-26,145,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-03-26,0,cumulative_cases_discarded,
Argentina-Buenos_Aires,2016-04-02,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-04-02,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-04-02,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-04-02,1,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-04-02,173,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-04-02,14,cumulative_cases_discarded,
Argentina-Buenos_Aires,2016-04-09,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-04-09,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-04-09,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-04-09,1,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-04-09,178,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-04-09,18,cumulative_cases_discarded,
Argentina-Buenos_Aires,2016-04-16,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-04-16,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-04-16,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-04-16,1,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-04-16,183,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-04-16,21,cumulative_cases_discarded,
Argentina-Buenos_Aires,2016-04-29,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-04-29,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-04-29,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-04-29,1,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-04-29,188,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-04-29,21,cumulative_cases_discarded,
Argentina-Buenos_Aires,2016-05-07,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-05-07,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-05-07,4,cumulative_confirmed_imported_cases,
