Date,Venezuela
2003-02-16,0.139
2003-02-23,0.137
2003-03-02,0.168
2003-03-09,0.169
2003-03-16,0.157
2003-03-23,0.154
2003-03-30,0.138
2003-04-06,0.136
2003-04-13,0.129
2003-04-20,0.168
2003-04-27,0.263
2003-05-04,0.222
2003-05-11,0.200
2003-05-18,0.202
2003-05-25,0.177
2003-06-01,0.192
2003-06-08,0.186
2003-06-15,0.178
2003-06-22,0.160
2003-06-29,0.172
2003-07-06,0.159
2003-07-13,0.161
2003-07-20,0.163
2003-07-27,0.153
2003-08-03,0.151
2003-08-10,0.150
2003-08-17,0.146
2003-08-24,0.152
2003-08-31,0.159
2003-09-07,0.166
2003-09-14,0.175
2003-09-21,0.162
2003-09-28,0.166
2003-10-05,0.160
2003-10-12,0.192
2003-10-19,0.231
2003-10-26,0.298
2003-11-02,0.302
2003-11-09,0.262
2003-11-16,0.238
2003-11-23,0.231
2003-11-30,0.252
2003-12-07,0.286
2003-12-14,0.360
2003-12-21,0.324
2003-12-28,0.321
2004-01-04,0.285
2004-01-11,0.256
2004-01-18,0.251
2004-01-25,0.284
2004-02-01,0.283
2004-02-08,0.227
2004-02-15,0.199
2004-02-22,0.195
2004-02-29,0.207
2004-03-07,0.188
2004-03-14,0.183
2004-03-21,0.184
2004-03-28,0.168
2004-04-04,0.176
2004-04-11,0.162
2004-04-18,0.162
2004-04-25,0.187
2004-05-02,0.206
2004-05-09,0.259
2004-05-16,0.236
2004-05-23,0.202
2004-05-30,0.195
2004-06-06,0.186
2004-06-13,0.166
2004-06-20,0.172
2004-06-27,0.180
2004-07-04,0.163
2004-07-11,0.158
2004-07-18,0.151
2004-07-25,0.158
2004-08-01,0.169
2004-08-08,0.165
2004-08-15,0.154
2004-08-22,0.149
2004-08-29,0.148
2004-09-05,0.157
2004-09-12,0.151
2004-09-19,0.159
2004-09-26,0.173
2004-10-03,0.198
2004-10-10,0.202
2004-10-17,0.240
2004-10-24,0.230
2004-10-31,0.221
2004-11-07,0.227
2004-11-14,0.183
2004-11-21,0.171
2004-11-28,0.201
2004-12-05,0.180
2004-12-12,0.169
2004-12-19,0.159
2004-12-26,0.160
2005-01-02,0.162
2005-01-09,0.174
2005-01-16,0.176
2005-01-23,0.183
2005-01-30,0.210
2005-02-06,0.183
2005-02-13,0.165
2005-02-20,0.188
2005-02-27,0.196
2005-03-06,0.170
2005-03-13,0.162
2005-03-20,0.164
2005-03-27,0.170
2005-04-03,0.172
2005-04-10,0.164
2005-04-17,0.167
2005-04-24,0.162
2005-05-01,0.174
2005-05-08,0.175
2005-05-15,0.190
